message_id,source,source_url,date,topic,issue_area,message_type,wording,support_pct,oppose_pct,net_score,preference_effect,effect_scale,sample_size,methodology,population,moe,tags,notes
DFP_0120,Data for Progress,https://www.dataforprogress.org/blog/2025/9/17/persuadable-voters-want-democrats-to-take-a-stand-against-republicans-in-the-upcoming-funding-fight-especially-on-health-care,2025-09-17,healthcare,,tested_message,"In particular, a broad message about Democrats standing up for health care funding in the budget package increases net Democratic vote choice by +9 points among all registered voters and +28 points among persuadable voters, or those who say they vote about equally for both parties.",,,,,,1226,online_panel,voters,,dfp;healthcare,"From: Persuadable Voters Want Democrats to Take a Stand Against Republicans in the Upcoming Funding Fight, Especially on Health Care"
DFP_0124,Data for Progress,https://www.dataforprogress.org/blog/2025/9/17/persuadable-voters-want-democrats-to-take-a-stand-against-republicans-in-the-upcoming-funding-fight-especially-on-health-care,2025-09-17,healthcare,,tested_message,"Likely and persuadable voters want Congress to prioritize funding health care, and strongly support a range of potential policy actions, especially increasing funding for rural hospitals and K-12 public schools.",,,,,,1226,online_panel,voters,,dfp;healthcare,"From: Persuadable Voters Want Democrats to Take a Stand Against Republicans in the Upcoming Funding Fight, Especially on Health Care"
DFP_20250917_0005,Data for Progress,https://www.dataforprogress.org/blog/2025/9/17/a-majority-of-voters-think-congress-should-prioritize-health-care-funding-and-blame-republicans-for-a-potential-government-shutdown,2025-09-17,healthcare,,tested_message,Democrats should withhold their votes unless Republicans agree to changes even if that risks a government shutdown,,,,,,,online_panel,voters,,dfp;healthcare,From: A Majority of Voters Think Congress Should Prioritize Health Care Funding
DFP_20250917_0006,Data for Progress,https://www.dataforprogress.org/blog/2025/9/17/a-majority-of-voters-think-congress-should-prioritize-health-care-funding-and-blame-republicans-for-a-potential-government-shutdown,2025-09-17,healthcare,,tested_message,Democrats should vote with Republicans to pass a budget and keep the government open even if it means agreeing to proposals they oppose.,,,,,,,,online_panel,voters,,dfp;healthcare
DFP_0129,Data for Progress,https://www.dataforprogress.org/blog/2025/9/8/most-voters-are-unaware-of-construction-of-data-centers-in-their-state-and-the-environmental-impacts-they-cause,2025-09-08,climate,,tested_message,"While a plurality of respondents are more in agreement with the pro-data center message, in both splits, the economics-based opposing message fares much better against the supportive argument, with the latter only winning out by a +1-point margin.",,,,,,1179,online_panel,voters,,dfp;climate,From: Most Voters Are Unaware of the Construction of Data Centers in Their State and the Environmental Impacts They Cause
DFP_0130,Data for Progress,https://www.dataforprogress.org/blog/2025/9/8/most-voters-are-unaware-of-construction-of-data-centers-in-their-state-and-the-environmental-impacts-they-cause,2025-09-08,climate,,tested_message,"The pollution-based opposing message is less effective against a pro-data center message, with the supportive argument winning out by a +11-point margin.",,,,,,1179,online_panel,voters,,dfp;climate,From: Most Voters Are Unaware of the Construction of Data Centers in Their State and the Environmental Impacts They Cause
DFP_20250808_0007,Data for Progress,https://www.dataforprogress.org/blog/2025/8/8/voters-strongly-oppose-israel-blocking-food-and-medical-supplies-to-gaza-want-the-us-to-prioritize-humanitarian-aid-over-weapons,2025-08-08,foreign_policy,,tested_message,should support Israel in carrying out its military strategies against Hamas.,,,,,,,,online_panel,voters,,dfp;foreign_policy
DFP_20250731_0008,Data for Progress,https://www.dataforprogress.org/blog/2025/7/31/alaska-legislature-special-session-polling-voters-overwhelmingly-support-overriding-vetoes,2025-07-31,democracy,,tested_message,Do you support or oppose some legislators skipping the special session?,,,,,,,online_panel,voters,,dfp;democracy,From: Alaska Legislature Special Session Polling: Voters Overwhelmingly Support Overriding Vetoes
DFP_20250729_0009,Data for Progress,https://www.dataforprogress.org/blog/2025/7/29/inside-the-2025-nyc-mayoral-primary-strong-support-for-economic-justice-and-palestinian-rights,2025-07-29,foreign_policy,,tested_message,the U.S. should restrict taxpayer-funded weapons to Israel until it stops attacking civilians in Gaza supports Palestinian rights and commits to a long-term peace process,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Inside the 2025 NYC Mayoral Primary: Strong Support for Economic Justice and Palestinian Rights
DFP_20250306_0010,Data for Progress,https://www.dataforprogress.org/blog/2025/3/5/voters-are-split-over-whether-the-us-is-an-oligarchy-or-democracy,2025-03-06,democracy,,tested_message,government where power is concentrated in the hands of a small wealthy elite.,,,,,,,,online_panel,voters,,dfp;democracy
DFP_20250303_0011,Data for Progress,https://www.dataforprogress.org/blog/2025/3/3/a-slim-majority-of-voters-think-us-democracy-is-currently-working-well,2025-03-03,democracy,,tested_message,when U.S. elected leaders defend existing government institutions they demonstrate their commitment to protecting America's values and norms,,,,,,,online_panel,voters,,dfp;democracy,From: A Slim Majority of Voters Think U.S. Democracy Is Currently Working Well
DFP_20250129_0012,Data for Progress,https://www.dataforprogress.org/blog/2025/1/29/after-week-1-voters-have-a-slightly-favorable-view-of-trump-but-oppose-many-of-his-executive-orders,2025-01-29,immigration,,tested_message,and declaring a national emergency at the U.S.-Mexico border. A majority of voters support both of these actions. However most of the actions tested are unpopular with an outright majority opposing Trump's directives for federal agencies to refer to the Gulf of Mexico as the,,,,,,,online_panel,voters,,dfp;immigration,"From: After Week 1, Voters Have a Slightly Favorable View of Trump, but Oppose Many of His Executive Orders"
DFP_0144,Data for Progress,https://www.dataforprogress.org/blog/2024/12/10/a-majority-of-michigan-voters-support-the-drive-safe-proposal,2024-12-10,democracy,,tested_message,"By a +6-point net margin, Michigan voters also indicate that they are more likely to vote for a state representative who supports the Drive SAFE bill, including Democrats by a +53-point margin.",,,,,,716,online_panel,voters,,dfp;democracy,From: A Majority of Michigan Voters Support the Drive SAFE Proposal
DFP_20241122_0013,Data for Progress,https://www.dataforprogress.org/blog/2024/11/22/new-data-shows-the-economy-was-the-deciding-factor-for-voters-in-pennsylvania-and-michigan-and-harris-missed-opportunities-to-play-up-economic-populism,2024-11-22,economy,,tested_message,take actions that benefit billionaires and corporate elites.,,,,,,,,online_panel,voters,,dfp;economy
DFP_20241119_0014,Data for Progress,https://www.dataforprogress.org/blog/2024/11/19/voters-disapprove-of-recess-appointments-disagree-with-trumps-nominees-controversial-statements,2024-11-19,healthcare,,tested_message,"spread various conspiracies about public health, including claiming that vaccines cause autism and accusing former NIH official Anthony Fauci of conspiring with Bill Gates and drug companies to sell COVID-19 vaccines. He has also supported eliminating large numbers of public health officials.",,,,,,,,online_panel,voters,,dfp;healthcare
DFP_20241119_0015,Data for Progress,https://www.dataforprogress.org/blog/2024/11/19/voters-disapprove-of-recess-appointments-disagree-with-trumps-nominees-controversial-statements,2024-11-19,foreign_policy,,tested_message,supported pardoning military officials accused of war crimes and believes that women should not be allowed to serve in military combat roles.,,,,,,,,online_panel,voters,,dfp;foreign_policy
DFP_20241119_0016,Data for Progress,https://www.dataforprogress.org/blog/2024/11/19/voters-disapprove-of-recess-appointments-disagree-with-trumps-nominees-controversial-statements,2024-11-19,foreign_policy,,tested_message,"made favorable comments about Russian President Vladimir Putin, has been accused of spreading pro-Russia propaganda, and has refused to call Syrian President Bashar al-Assad a war criminal.",,,,,,,,online_panel,voters,,dfp;foreign_policy
DFP_20240722_0017,Data for Progress,https://www.dataforprogress.org/blog/2024/7/22/voters-disagree-with-many-of-jd-vances-controversial-statements,2024-07-22,democracy,,tested_message,"Eliminating abortion is first and foremost about protecting the unborn. These statements are very unpopular among key constituencies. For example 57% of women disagree with the statement that ""eliminating abortion is first and foremost about protecting the unborn"" 70% of Black voters disagree with the statement that ""the [2020] election was stolen from Trump"" and 69% of college-educated voters disagree with the statement that ""Trump should fire every single mid-level bureaucrat every civil servant in the administrative state.""",,,,,,,,online_panel,voters,,dfp;democracy
DFP_20240515_0018,Data for Progress,https://www.dataforprogress.org/blog/2024/5/15/a-bipartisan-majority-of-voters-support-new-faa-rules-requiring-airlines-to-provide-automatic-refunds,2024-05-15,economy,,tested_message,"that would limit these refunds so that they are not automatic, and would ""require passengers to submit a written or electronic request to receive them.""",,,,,,,,online_panel,voters,,dfp;economy
DFP_20240508_0019,Data for Progress,https://www.dataforprogress.org/blog/2024/5/8/support-for-a-permanent-ceasefire-in-gaza-increases-across-party-lines,2024-05-08,foreign_policy,,tested_message,If fighting between Israel and Iran escalates to what extent should the U.S. be militarily involved in the conflict on Israel's side if at all?,,,,,,,,online_panel,voters,,dfp;foreign_policy
DFP_0156,Data for Progress,https://www.dataforprogress.org/blog/2024/4/24/voters-prefer-a-humane-approach-to-asylum-view-punitive-measures-as-ineffective,2024-04-25,democracy,,tested_message,"in U.S. communities, in shelters or with sponsors,",,,,,,,online_panel,voters,,dfp;democracy,"From: Voters Prefer a Humane Approach to Asylum, View Punitive Measures as Ineffective"
DFP_0157,Data for Progress,https://www.dataforprogress.org/blog/2024/4/24/voters-prefer-a-humane-approach-to-asylum-view-punitive-measures-as-ineffective,2024-04-25,democracy,,tested_message,held in prisons or detention centers.,,,,,,,online_panel,voters,,dfp;democracy,"From: Voters Prefer a Humane Approach to Asylum, View Punitive Measures as Ineffective"
DFP_20240425_0000,Data for Progress,https://www.dataforprogress.org/blog/2024/4/24/voters-prefer-a-humane-approach-to-asylum-view-punitive-measures-as-ineffective,2024-04-25,immigration,,tested_message,"in U.S. communities, in shelters or with sponsors,",,,,,,,online_panel,voters,,dfp;immigration,"From: Voters Prefer a Humane Approach to Asylum, View Punitive Measures as Ineffective"
DFP_20240425_0001,Data for Progress,https://www.dataforprogress.org/blog/2024/4/24/voters-prefer-a-humane-approach-to-asylum-view-punitive-measures-as-ineffective,2024-04-25,immigration,,tested_message,held in prisons or detention centers.,,,,,,,online_panel,voters,,dfp;immigration,"From: Voters Prefer a Humane Approach to Asylum, View Punitive Measures as Ineffective"
DFP_0158,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,economy,,tested_message,"for high grocery prices, corporate price gouging rises to the top, whether “corporate food manufacturers",,,,,,,online_panel,voters,,dfp;economy,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_0159,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,economy,,tested_message,should do more to take on corporations that unfairly and illegally raise prices on consumers.,,,,,,,online_panel,voters,,dfp;economy,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_0160,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,economy,,tested_message,because the government should not interfere in the private sector.,,,,,,,online_panel,voters,,dfp;economy,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_20240312_0002,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,immigration,,tested_message,""" for high grocery prices, corporate price gouging rises to the top, whether “corporate food manufacturers”",,,,,,,online_panel,voters,,dfp;immigration,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_20240312_0003,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,immigration,,tested_message,should do more to take on corporations that unfairly and illegally raise prices on consumers.,,,,,,,online_panel,voters,,dfp;immigration,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_20240312_0004,Data for Progress,https://www.dataforprogress.org/blog/2024/3/12/voters-strongly-support-bidens-strike-force-on-corporate-price-gouging,2024-03-12,immigration,,tested_message,because the government should not interfere in the private sector.,,,,,,,online_panel,voters,,dfp;immigration,From: Voters Strongly Support Biden’s Strike Force on Corporate Price Gouging
DFP_0161,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"Of the choices listed below, which do you think are the top three most important issues for Congress to focus on?",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_0162,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"jobs and the economy,",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_0163,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,jobs and the economy,,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_0164,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"In the voting booth, which of the following issues do you consider most when deciding which candidate to vote for?",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_0165,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"protecting abortion rights,",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0005,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"Of the choices listed below, which do you think are the top three most important issues for Congress to focus on?",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0006,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"jobs and the economy,",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0007,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,jobs and the economy,,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0008,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"In the voting booth, which of the following issues do you consider most when deciding which candidate to vote for?",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_20240306_0009,Data for Progress,https://www.dataforprogress.org/blog/2024/3/6/inflation-and-the-economy-consistently-rank-as-top-issues-among-likely-voters-and-heres-our-new-way-to-ask-issue-importance,2024-03-06,economy,,tested_message,"protecting abortion rights,",,,,,,,online_panel,voters,,dfp;economy,From: Inflation and the Economy Consistently Rank as Top Issues Among Likely Voters ​​— and Here’s Our New...
DFP_0166,Data for Progress,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,2024-02-27,foreign_policy,,tested_message,the release of Israeli hostages from Gaza.,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Voters Support the U.S. Calling for Permanent Ceasefire in Gaza and Conditioning Military Aid to Isr...
DFP_0167,Data for Progress,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,2024-02-27,foreign_policy,,tested_message,the U.S. should call for a permanent ceasefire and de-escalation of violence in Gaza right now.,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Voters Support the U.S. Calling for Permanent Ceasefire in Gaza and Conditioning Military Aid to Isr...
DFP_0168,Data for Progress,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,2024-02-27,foreign_policy,,tested_message,the U.S. should not call for a permanent ceasefire and de-escalation of violence in Gaza until Hamas is defeated.,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Voters Support the U.S. Calling for Permanent Ceasefire in Gaza and Conditioning Military Aid to Isr...
DFP_20240227_0010,Data for Progress,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,2024-02-27,foreign_policy,,tested_message,the release of Israeli hostages from Gaza.,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Voters Support the U.S. Calling for Permanent Ceasefire in Gaza and Conditioning Military Aid to Isr...
DFP_20240227_0011,Data for Progress,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,2024-02-27,foreign_policy,,tested_message,the U.S. should call for a permanent ceasefire and de-escalation of violence in Gaza right now.,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Voters Support the U.S. Calling for Permanent Ceasefire in Gaza and Conditioning Military Aid to Isr...
DFP_20240227_0012,Data for Progress,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,2024-02-27,foreign_policy,,tested_message,the U.S. should not call for a permanent ceasefire and de-escalation of violence in Gaza until Hamas is defeated.,,,,,,,online_panel,voters,,dfp;foreign_policy,From: Voters Support the U.S. Calling for Permanent Ceasefire in Gaza and Conditioning Military Aid to Isr...
DFP_0169,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,the cost of food and groceries.,,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
DFP_0170,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,"corporate food manufacturers raising prices to maximize profits,",,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
DFP_0171,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,corporate food manufacturers raising prices to maximize profits,,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
DFP_0172,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,"food manufacturers like PepsiCo, FritoLay, and General Mills raising prices to maximize profits",,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
DFP_0173,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,grocery stores raising prices to maximize profits.,,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
DFP_20240212_0013,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,the cost of food and groceries.,,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
DFP_20240212_0014,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,"corporate food manufacturers raising prices to maximize profits,",,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
DFP_20240212_0015,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,corporate food manufacturers raising prices to maximize profits,,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
DFP_20240212_0016,Data for Progress,https://www.dataforprogress.org/blog/2024/2/12/voters-concerned-about-inflation-are-mostly-concerned-about-grocery-prices-overwhelmingly-support-action-against-shrinkflation,2024-02-12,economy,,tested_message,"food manufacturers like PepsiCo, FritoLay, and General Mills raising prices to maximize profits",,,,,,,online_panel,voters,,dfp;economy,From: Voters Who Are Concerned About Inflation Are Mostly Concerned About Grocery Prices — and Overwhelmin...
